来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,专业组出现ID,专业组源行号,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,专业组标题OCR原文,来源页码,版面列,专业组标题行号,OCR专业行数_组表,专业明细行数_专业表,专业行数是否一致,规范化专业组代码是否重复,规范化专业组代码重复行数,唯一专业代号数,空专业代号数,相对质量层级,复核优先级,优先级原因代码,优先级原因说明,组字段完整性标记,结构异常数,高严重结构异常数,中严重结构异常数,结构异常规则ID列表,结构异常类型列表,字段完整性问题数,缺再选科目专业数,缺计划数专业数,缺学费专业数,非纯数字计划数专业数,计划数>=1000专业数,非纯数字学费专业数,学费<=500专业数,学费超过预算专业数,异常学费专业数,偏好专业命中数,偏好方向列表,硬风险命中,硬风险类型列表,候选池V1命中,样本学校命中,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-b10065e02620b1ce,2,A001,北京大学,A00107,07,A00107 北京大学第 07 组,10,left,37,17,17,是,否,1,17,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常1条；字段完整性/纯数字问题22项；命中当前偏好专业方向；命中风险标签,plan_count_not_plain_number;tuition_not_plain_number,1,1,0,major_text_embeds_other_school_marker,专业名称疑似串入下一院校,22,16,3,0,3,0,0,0,0,0,1,计算机类相关,是,医学/护理等排除方向,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-eedfcc7b971f13a6,3,A002,中国人民大学,A00208,08,A0O208/中国人民大学第08组,10,left,68,1,1,是,否,1,1,0,Q4-结构相对完整待抽检,P0-必须优先核页,P0-必须优先核页,命中当前偏好专业方向,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,计算机类相关,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-92ccac1fb5b632c6,4,A002,中国人民大学,A00209,09,AO0209/中国人民大学第 09组,10,left,71,11,11,是,否,1,11,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常3条；字段完整性/纯数字问题26项；异常学费2项；命中当前偏好专业方向,plan_count_not_plain_number;tuition_not_plain_number,3,3,0,major_text_embeds_other_school_marker；tuition_number_le_500,专业名称疑似串入下一院校；学费数字疑似吞入计划数或截断,26,10,8,0,8,0,0,2,0,2,5,计算机类相关,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-92189002d14ebac0,5,A003,清华大学,A00308,08,A00308|清华大学第 08 组,10,right,167,19,19,是,否,1,19,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常2条；字段完整性/纯数字问题28项；异常学费1项；命中当前偏好专业方向；命中风险标签,plan_count_not_plain_number;tuition_not_plain_number,2,2,0,major_text_embeds_other_school_marker；tuition_number_le_500,专业名称疑似串入下一院校；学费数字疑似吞入计划数或截断,28,18,5,0,5,0,0,1,0,1,3,计算机类相关,是,医学/护理等排除方向,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-ad0cc5af1d4e8f4d,6,A004,北京交通大学,A00405,05,A00405 北京交通大学第05组,11,left,43,0,0,是,否,1,0,0,Q0-无专业明细,P0-必须优先核页,P0-必须优先核页,无专业明细,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-13327e2ff9daac46,7,A004,北京交通大学,A00406,06,A00406 京交通大学第06组,11,left,47,1,1,是,否,1,1,0,Q3-字段待核,P0-必须优先核页,P0-必须优先核页,字段完整性/纯数字问题3项,,0,0,0,,,3,1,1,0,1,0,0,0,0,0,0,,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-eb4df22f74e0358a,8,A004,北京交通大学,A00407,07,A00407/北京交通大学第07 组,11,left,54,1,1,是,否,1,1,0,Q3-字段待核,P0-必须优先核页,P0-必须优先核页,字段完整性/纯数字问题1项,missing_subject_candidate;plan_count_not_plain_number,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-4fef2eb7e32c9154,9,A004,北京交通大学,A00408,08,A00408/北京交通大学第08 组,11,left,60,4,4,是,否,1,4,0,Q2-重点候选字段待核,P0-必须优先核页,P0-必须优先核页,字段完整性/纯数字问题3项；命中当前偏好专业方向,plan_count_not_plain_number;tuition_not_plain_number,0,0,0,,,3,3,0,0,0,0,0,0,0,0,3,计算机类相关,否,,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-ecbfc6d0b5483f6b,10,A004,北京交通大学,A00409,09,［A00409/北京交通大学第09组,11,right,163,1,1,是,否,1,1,0,Q3-字段待核,P0-必须优先核页,P0-必须优先核页,字段完整性/纯数字问题1项；命中风险标签,missing_subject_candidate;plan_count_not_plain_number;tuition_over_15000,0,0,0,,,1,1,0,0,0,0,0,0,1,0,0,,是,中外合作或高收费；学费超过当前上限,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,G-34938058b454e9d0,11,A004,北京交通大学,A00410,10,A00410 北京交通大学第10组,11,right,169,0,0,是,否,1,0,0,Q0-无专业明细,P0-必须优先核页,P0-必须优先核页,无专业明细；命中风险标签,tuition_over_15000,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,是,学费超过当前上限,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
